query_id,doc_id,0,1
triviaqa::olmes:qb_6070,concat_triviaqa::olmes:qb_6070,0.0,1.0
triviaqa::olmes:bb_844,concat_triviaqa::olmes:bb_844,0.0,1.0
triviaqa::olmes:sfq_9767,concat_triviaqa::olmes:sfq_9767,0.0,1.0
triviaqa::olmes:qz_390,concat_triviaqa::olmes:qz_390,0.0,0.0
triviaqa::olmes:dpql_5427,concat_triviaqa::olmes:dpql_5427,1.0,1.0
triviaqa::olmes:odql_8201,concat_triviaqa::olmes:odql_8201,0.0,0.0
triviaqa::olmes:qw_16743,concat_triviaqa::olmes:qw_16743,0.0,1.0
triviaqa::olmes:sfq_13065,concat_triviaqa::olmes:sfq_13065,0.0,0.0
triviaqa::olmes:tb_655,concat_triviaqa::olmes:tb_655,0.0,0.0
triviaqa::olmes:bt_1754,concat_triviaqa::olmes:bt_1754,0.0,1.0
triviaqa::olmes:qb_10024,concat_triviaqa::olmes:qb_10024,0.0,1.0
triviaqa::olmes:sfq_5754,concat_triviaqa::olmes:sfq_5754,0.0,0.0
triviaqa::olmes:sfq_7689,concat_triviaqa::olmes:sfq_7689,0.0,0.0
triviaqa::olmes:odql_4960,concat_triviaqa::olmes:odql_4960,0.0,0.0
triviaqa::olmes:qb_4425,concat_triviaqa::olmes:qb_4425,0.0,0.0
triviaqa::olmes:sfq_20029,concat_triviaqa::olmes:sfq_20029,0.0,1.0
triviaqa::olmes:dpql_3469,concat_triviaqa::olmes:dpql_3469,0.0,0.0
triviaqa::olmes:sfq_13140,concat_triviaqa::olmes:sfq_13140,0.0,1.0
triviaqa::olmes:odql_12080,concat_triviaqa::olmes:odql_12080,0.0,1.0
triviaqa::olmes:bb_5134,concat_triviaqa::olmes:bb_5134,0.0,0.0
triviaqa::olmes:qw_13497,concat_triviaqa::olmes:qw_13497,0.0,0.0
triviaqa::olmes:qg_1540,concat_triviaqa::olmes:qg_1540,0.0,0.0
triviaqa::olmes:dpql_6042,concat_triviaqa::olmes:dpql_6042,0.0,0.0
