query_id,doc_id,0,1
triviaqa::olmes:dpql_94,concat_triviaqa::olmes:dpql_94,1.0,1.0
triviaqa::olmes:dpql_5574,concat_triviaqa::olmes:dpql_5574,0.0,0.0
triviaqa::olmes:qb_8559,concat_triviaqa::olmes:qb_8559,0.0,0.0
triviaqa::olmes:qb_9420,concat_triviaqa::olmes:qb_9420,0.0,0.0
triviaqa::olmes:wh_1082,concat_triviaqa::olmes:wh_1082,1.0,1.0
triviaqa::olmes:dpql_1328,concat_triviaqa::olmes:dpql_1328,1.0,1.0
triviaqa::olmes:dpql_1201,concat_triviaqa::olmes:dpql_1201,0.0,0.0
triviaqa::olmes:wh_2457,concat_triviaqa::olmes:wh_2457,1.0,1.0
triviaqa::olmes:qz_2380,concat_triviaqa::olmes:qz_2380,0.0,1.0
triviaqa::olmes:qz_4203,concat_triviaqa::olmes:qz_4203,0.0,0.0
triviaqa::olmes:wh_2990,concat_triviaqa::olmes:wh_2990,1.0,0.0
triviaqa::olmes:qz_532,concat_triviaqa::olmes:qz_532,0.0,0.0
triviaqa::olmes:wh_1614,concat_triviaqa::olmes:wh_1614,1.0,1.0
triviaqa::olmes:qb_9630,concat_triviaqa::olmes:qb_9630,1.0,1.0
triviaqa::olmes:dpql_5124,concat_triviaqa::olmes:dpql_5124,0.0,1.0
triviaqa::olmes:dpql_1397,concat_triviaqa::olmes:dpql_1397,0.0,0.0
triviaqa::olmes:wh_419,concat_triviaqa::olmes:wh_419,0.0,0.0
triviaqa::olmes:tc_232,concat_triviaqa::olmes:tc_232,0.0,0.0
triviaqa::olmes:tc_2888,concat_triviaqa::olmes:tc_2888,1.0,1.0
triviaqa::olmes:dpql_3869,concat_triviaqa::olmes:dpql_3869,1.0,1.0
triviaqa::olmes:dpql_5827,concat_triviaqa::olmes:dpql_5827,1.0,1.0
triviaqa::olmes:qb_2316,concat_triviaqa::olmes:qb_2316,1.0,1.0
triviaqa::olmes:wh_1243,concat_triviaqa::olmes:wh_1243,1.0,1.0
triviaqa::olmes:dpql_3449,concat_triviaqa::olmes:dpql_3449,0.0,1.0
triviaqa::olmes:dpql_4377,concat_triviaqa::olmes:dpql_4377,1.0,1.0
triviaqa::olmes:tc_2676,concat_triviaqa::olmes:tc_2676,1.0,1.0
triviaqa::olmes:qz_3635,concat_triviaqa::olmes:qz_3635,1.0,1.0
triviaqa::olmes:qb_4328,concat_triviaqa::olmes:qb_4328,1.0,1.0
triviaqa::olmes:qb_5951,concat_triviaqa::olmes:qb_5951,1.0,1.0
triviaqa::olmes:qz_6230,concat_triviaqa::olmes:qz_6230,0.0,0.0
triviaqa::olmes:wh_2774,concat_triviaqa::olmes:wh_2774,1.0,1.0
triviaqa::olmes:qb_2509,concat_triviaqa::olmes:qb_2509,1.0,1.0
triviaqa::olmes:tc_256,concat_triviaqa::olmes:tc_256,1.0,1.0
triviaqa::olmes:qb_300,concat_triviaqa::olmes:qb_300,0.0,0.0
triviaqa::olmes:qb_4574,concat_triviaqa::olmes:qb_4574,1.0,1.0
triviaqa::olmes:dpql_2690,concat_triviaqa::olmes:dpql_2690,1.0,1.0
triviaqa::olmes:dpql_271,concat_triviaqa::olmes:dpql_271,0.0,1.0
triviaqa::olmes:wh_4062,concat_triviaqa::olmes:wh_4062,1.0,1.0
triviaqa::olmes:dpql_6206,concat_triviaqa::olmes:dpql_6206,1.0,1.0
triviaqa::olmes:qb_9639,concat_triviaqa::olmes:qb_9639,0.0,1.0
triviaqa::olmes:dpql_2888,concat_triviaqa::olmes:dpql_2888,0.0,1.0
triviaqa::olmes:dpql_951,concat_triviaqa::olmes:dpql_951,1.0,0.0
triviaqa::olmes:qb_8566,concat_triviaqa::olmes:qb_8566,0.0,1.0
